sector,code,region,nondis,estab,employ,wage,bea.comp.st,bea.earn.st,bea.empl.st,gdp.comp.st,us.comp.gdp.ratio,us.comp.out.ratio,st.output,st.gdp.est,gdp,taxsub.est,taxsub.st,surplus.est,surplus.st,check,output,jobs.1000output.ratio,earn.output.ratio,comp.output.ratio,valueadded.output.ratio,taxsub.output.ratio,surplus.output.ratio,Code,st.total.dem,rpc
60,331490,34000,1,21,299,22779753,29392618.6,29712875.85,319.554393,31839695.99,0.348405253,0.102133979,311744401,91386957.27,68064004.98,1225918.289,3395093.485,43124229.8,22478897.69,0,311744401,0.001025053,0.095311658,0.094284351,0.218332726,0.010890632,0.072106821,331490,354027777.5,0.82707928
61,331510,34000,0,19,565,33448167,43158027.89,43628270.84,603.840241,46751142.07,0.709386045,0.289013333,161761194.7,65903667.52,49084329.84,1130886.51,3131909.736,13127279.21,6842713.892,0,161761194.7,0.003732912,0.269707892,0.266800873,0.303436989,0.019361317,0.042301331,331510,224418772.8,0.801639422
62,331520,34000,0,19,921,41305917,53296849.36,53877563.28,984.31303,57734069.38,0.641666667,0.256369427,225198730.2,89975173.05,67012523.55,1845272.388,5110350.6,22167548.55,11555036.66,0,225198730.2,0.004370864,0.239244525,0.236665852,0.29757061,0.022692626,0.051310399,331520,136647937.5,0.85148279
63,33211A,34000,1,6,161,10548252,13111906.73,13626202.24,172.0677501,13303034.97,0.651388575,0.232043755,57329855.71,20422579.5,18229416.97,304578.2018,530686.5931,6054520.742,4052576.654,0,57329855.71,0.003001364,0.237680735,0.22870992,0.317974234,0.009256723,0.070688764,33211A,223046092.5,0.606951077
64,332114,34000,1,4,38,2880705,3580833.609,3721286.61,40.61226399,3633030.32,0.203577065,0.048098434,75533235.03,17845970.64,15929507.83,201108.9889,350405.3919,12485516.4,8357145.745,0,75533235.03,0.000537674,0.049266877,0.047407391,0.210894023,0.004639089,0.110641968,332114,133167101.7,0.760875548
65,33211B,34000,0,55,1844,100548895,124986370.6,129888779.5,1970.763548,126808258.5,0.655765199,0.245352577,516840948.6,193374486.2,172608173.3,3401502.785,5926661.572,56016237.36,37494313,0,516840948.6,0.003813095,0.251312865,0.241827531,0.333967681,0.01146709,0.072545167,33211B,291347535.2,0.875369443
66,332200,34000,0,40,826,38590612,47969702.02,49851243.95,882.78237,48668941.62,0.653800709,0.316612626,153717627.1,74440025.77,66445978.04,772019.0438,1345139.454,22231531.45,14880613.87,0,153717627.1,0.005742883,0.324304017,0.312063769,0.432259978,0.008750717,0.096804863,332200,226316931.5,0.570136398
67,332310,34000,0,96,1194,70802328,88010176.57,91462248,1276.080084,89293073.87,0.768354927,0.258099969,345963132.6,116213315.9,103733271.9,3102087.768,5404971.134,20920425.6,14003028.81,0,345963132.6,0.003688486,0.264369927,0.254391778,0.299839093,0.015622969,0.040475494,332310,1633598969,0.537010188
68,332320,34000,0,231,6043,298628446,371207317.7,385767385.9,6458.418719,376618292.7,0.796857007,0.269143655,1399320720,472629705.4,421874424.5,11916387.93,20762704.86,73784445.17,49387413.58,0,1399320720,0.004615396,0.275681894,0.265276796,0.301485155,0.014837703,0.035293849,332320,1378445253,0.815848771
69,332410,34000,0,11,351,24749171,30764227.27,31970909.43,375.1290701,31212667.96,0.641501817,0.273211829,114243471.9,48655618.96,43430535.6,227935.7944,397147.496,15341832.32,10269012.88,0,114243471.9,0.003283593,0.279848896,0.269286523,0.380157701,0.003476326,0.089887087,332410,267048415.4,0.637366166
70,332420,34000,0,16,342,22859174,28414884.04,29529416.62,365.510376,28829079.08,0.550030139,0.21010822,137210619.6,52413635.27,46784981.9,239706.0556,417655.5945,20812125.76,13930538.61,0,137210619.6,0.002663864,0.215212326,0.20708954,0.340972018,0.003043901,0.10152668,332420,266457785.2,0.685779644
71,332430,34000,0,27,703,42192682,52447221.69,54504387.83,751.3268839,53211728.73,0.672036547,0.162897774,326657188.4,79179813.87,70676764.54,1512438.578,2635221.008,21666957.15,14502717.63,0,326657188.4,0.002300047,0.166855008,0.160557378,0.21636372,0.008067237,0.044397363,332430,502996123,0.766203863
72,332500,34000,0,14,176,10005902,12437743.6,12925596.04,188.0989069,12619044.76,0.536920121,0.211711224,59604987,23502648.3,20978719.94,230345.5387,401346.1517,9478718.919,6344554.199,0,59604987,0.003155758,0.216854272,0.208669513,0.351962495,0.006733432,0.106443345,332500,180715192.1,0.539929082
73,332600,34000,0,34,1160,67005931,83291100.53,86558073.04,1239.742796,84505209.3,0.793589389,0.314017057,269110252.2,106484802.4,95049494.79,1654633.372,2882976.331,17964590.89,12024549.05,0,269110252.2,0.004606821,0.321645394,0.30950549,0.353199085,0.010712993,0.044682612,332600,160032999.3,0.830966978
74,332710,34000,0,391,3527,199322267,247765693.7,257483943.4,3769.459345,251377298.1,0.827515057,0.399789854,628773581.3,303773684.8,271151700.8,2782283.791,4847755.674,43987301.89,29442778.43,0,628773581.3,0.005994939,0.409501848,0.394045967,0.431239016,0.007709859,0.046825724,332710,1029712996,0.74008089
75,332720,34000,0,55,862,42971701,53415574.03,55510722.38,921.2571464,54194196.44,0.418321142,0.198029597,273667154.7,129551655.3,115639219,1006959.413,1754491.48,66267998.96,44356301.17,0,273667154.7,0.003366342,0.20284028,0.195184453,0.422554249,0.006411041,0.162081201,332720,425317911.1,0.704584449
76,332800,34000,0,109,1732,81755358,101625238.8,105611341.3,1851.064243,103106598.7,0.602075536,0.263710879,390983485.4,171251932,152861340.3,4928074.853,8586508.289,55899192.07,37415969.06,0,390983485.4,0.00473438,0.270117141,0.259922075,0.390966233,0.021961307,0.095697057,332800,726185049.2,0.796273093
77,33291A,34000,1,40,1266,84616697,105181999.7,109307611,1353.029637,106715205.4,0.519127259,0.225586835,473055998.5,205566561.2,183490952.2,4850058.81,8450575.816,83385738.38,55814012.54,0,473055998.5,0.002860189,0.231066959,0.222345769,0.38788421,0.017863796,0.117986058,33291A,950998390.6,0.709966472
78,332913,34000,1,2,4,262181,325901.6583,338684.6777,4.274975157,330652.2266,0.369938991,0.158809524,2082067.994,893802.0458,797817.4442,4424.944228,7709.870774,498248.72,333501.3978,0,2082067.994,0.002053235,0.162667444,0.156527865,0.383185106,0.003702987,0.160177957,332913,98369955.69,0.074274683
79,332991,34000,1,8,251,16613891,20651742.98,21461777.63,268.2546911,20952777.09,0.608476821,0.306798451,68294924.73,34434799.1,30736876.85,170986.5997,297921.176,11863213.13,7940608.782,0,68294924.73,0.003927886,0.314251428,0.302390596,0.450060923,0.004362274,0.116269383,332991,97488093.83,0.672951849
